date,product_id,category,region,store_format,base_price,cost,price,competitor_price,discount_pct,promo_flag,holiday_flag,inflation_index,unemployment_index,stock,quantity,revenue,margin
2025-01-01,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,49.71,54.37,0.0851,0,0,100.11,29.77,180,134,6661.14,1065.3000000000004
2025-01-02,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,58.28,53.35,0.0,0,0,100.29,29.93,139,96,5594.88,1585.9200000000003
2025-01-03,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,45.46,53.73,0.1633,1,0,100.28,30.29,261,201,9137.460000000001,743.7000000000006
2025-01-04,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,50.07,53.75,0.0784,0,0,100.51,30.06,178,154,7710.78,1279.7400000000002
2025-01-05,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,49.73,52.57,0.0846,0,0,99.89,29.93,139,134,6663.82,1067.9799999999998
2025-01-06,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,50.92,54.35,0.0627,0,0,99.92,30.22,219,153,7790.76,1401.4800000000005
2025-01-07,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,58.25,55.9,0.0,0,0,100.0,30.15,130,107,6232.75,1764.4300000000003
2025-01-08,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,52.41,53.58,0.0354,0,0,100.02,30.31,191,152,7966.32,1618.7999999999997
2025-01-09,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,49.3,52.11,0.0926,0,0,100.09,30.02,122,100,4930.0,753.9999999999999
2025-01-10,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,50.87,53.17,0.0637,1,0,100.85,30.21,128,128,6511.36,1166.08
2025-01-11,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,49.88,54.79,0.0819,0,0,100.54,30.12,209,189,9427.32,1534.6800000000007
2025-01-12,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,55.91,53.96,0.0,0,0,100.41,30.12,124,122,6821.0199999999995,1726.2999999999997
2025-01-13,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,57.78,55.16,0.0,0,0,99.91,30.33,145,95,5489.1,1521.9000000000003
2025-01-14,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,52.58,55.11,0.0322,0,0,100.92,30.45,119,117,6151.86,1265.94
2025-01-15,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,48.95,54.32,0.099,0,0,99.96,30.47,181,144,7048.8,1035.3600000000006
2025-01-16,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,52.43,55.12,0.0349,0,0,99.81,30.32,222,148,7759.64,1579.1600000000003
2025-01-17,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,59.47,52.41,0.0,0,0,100.11,30.38,150,106,6303.82,1877.26
2025-01-18,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,51.02,58.24,0.061,0,0,100.13,30.48,173,121,6173.42,1120.4600000000007
2025-01-19,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,54.76,54.61,0.0,1,0,100.14,30.66,156,151,8268.76,1963.0
2025-01-20,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,56.46,54.0,0.0,0,0,99.76,30.68,137,110,6210.6,1617.0000000000002
2025-01-21,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,56.53,55.26,0.0,0,0,100.55,30.61,117,117,6614.01,1728.0900000000004
2025-01-22,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,54.35,55.25,0.0,0,0,99.96,30.63,158,108,5869.8,1359.7200000000003
2025-01-23,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,49.29,54.11,0.0928,0,0,99.91,30.43,187,108,5323.32,813.2400000000001
2025-01-24,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,54.57,53.31,0.0,0,0,99.7,30.54,180,132,7203.24,1690.9200000000003
2025-01-25,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,59.5,56.05,0.0,0,0,100.99,30.98,99,99,5890.5,1756.2600000000002
2025-01-26,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,50.78,56.53,0.0653,0,0,100.34,30.61,154,144,7312.32,1298.8800000000006
2025-01-27,SKU001,Beverages,Gauteng,Hyper,54.33,41.76,51.59,51.7,0.0505,0,0,100.41,31.0,312,209,10782.310000000001,2054.470000000001
2025-01-28,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,43.91,56.87,0.1917,1,0,100.09,30.74,222,186,8167.259999999999,399.89999999999975
2025-01-29,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,54.36,56.17,0.0,0,0,100.19,30.82,172,131,7121.16,1650.6000000000001
2025-01-30,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,59.11,53.22,0.0,0,0,100.6,30.83,175,117,6915.87,2029.9500000000003
2025-01-31,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,49.67,54.3,0.0858,0,0,100.29,30.93,226,160,7947.200000000001,1265.6000000000006
2025-02-01,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,51.57,52.73,0.0508,1,0,100.21,30.91,235,173,8921.61,1697.1300000000003
2025-02-02,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,59.01,52.77,0.0,0,0,99.83,30.7,181,155,9146.55,2673.75
2025-02-03,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,57.88,55.35,0.0,0,0,100.7,30.9,149,130,7524.400000000001,2095.6000000000004
2025-02-04,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,53.77,56.94,0.0103,0,0,100.3,30.83,126,126,6775.02,1513.2600000000007
2025-02-05,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,54.87,53.83,0.0,0,0,100.03,30.84,191,161,8834.07,2110.71
2025-02-06,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,57.83,53.15,0.0,0,0,100.59,31.16,139,125,7228.75,2008.75
2025-02-07,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,55.54,53.07,0.0,1,0,100.49,31.15,202,133,7386.82,1832.7400000000002
2025-02-08,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,42.95,53.82,0.2094,1,0,100.68,30.97,234,181,7773.950000000001,215.39000000000087
2025-02-09,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,58.34,52.48,0.0,0,0,100.19,30.79,130,107,6242.38,1774.0600000000006
2025-02-10,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,49.59,53.15,0.0872,1,0,101.13,31.09,209,175,8678.25,1370.250000000001
2025-02-11,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,55.24,53.0,0.0,0,0,100.75,30.72,136,105,5800.2,1415.4000000000003
2025-02-12,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,59.62,55.75,0.0,0,0,100.08,31.33,154,120,7154.4,2143.2
2025-02-13,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,53.4,55.85,0.017,0,0,100.15,31.05,127,105,5607.0,1222.2
2025-02-14,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,53.79,53.12,0.0099,0,0,100.49,31.09,100,100,5379.0,1203.0
2025-02-15,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,54.55,52.64,0.0,0,0,100.66,31.15,220,141,7691.549999999999,1803.3899999999999
2025-02-16,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,56.55,54.89,0.0,0,0,100.44,31.25,171,152,8595.6,2248.08
2025-02-17,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,50.61,50.55,0.0685,1,0,100.42,30.94,247,200,10122.0,1770.0000000000002
2025-02-18,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,59.55,53.39,0.0,0,0,100.53,31.25,67,67,3989.85,1191.9299999999998
2025-02-19,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,52.65,54.63,0.0309,0,0,100.52,30.97,201,141,7423.65,1535.49
2025-02-20,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,52.86,51.53,0.0271,0,0,100.31,31.06,226,137,7241.82,1520.7000000000003
2025-02-21,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,48.03,52.84,0.116,1,0,100.58,31.28,184,184,8837.52,1153.6800000000005
2025-02-22,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,54.46,54.78,0.0,0,0,101.07,31.13,156,155,8441.3,1968.5000000000005
2025-02-23,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,49.12,51.55,0.096,0,0,100.62,31.06,167,156,7662.719999999999,1148.1599999999999
2025-02-24,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,49.84,53.83,0.0826,0,0,101.11,31.31,258,149,7426.160000000001,1203.9200000000008
2025-02-25,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,55.92,51.61,0.0,0,0,100.92,31.05,173,121,6766.320000000001,1713.3600000000004
2025-02-26,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,50.78,52.89,0.0653,0,0,100.43,31.11,105,105,5331.900000000001,947.1000000000004
2025-02-27,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,50.75,55.07,0.0658,0,0,100.84,31.1,213,168,8526.0,1510.3200000000004
2025-02-28,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,54.41,52.61,0.0,0,0,100.45,31.28,146,131,7127.709999999999,1657.1499999999999
2025-03-01,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,54.68,51.89,0.0,0,0,100.57,31.19,159,141,7709.88,1821.7200000000003
2025-03-02,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,50.95,55.2,0.0621,1,0,100.97,31.11,91,91,4636.45,836.2900000000004
2025-03-03,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,50.87,53.99,0.0638,0,0,100.44,31.23,150,127,6460.49,1156.97
2025-03-04,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,57.75,53.33,0.0,0,0,100.51,31.29,159,124,7161.0,1982.7600000000002
2025-03-05,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,52.99,55.95,0.0246,0,0,101.32,31.16,138,121,6411.79,1358.8300000000004
2025-03-06,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,55.68,55.29,0.0,0,0,100.64,31.32,137,137,7628.16,1907.0400000000002
2025-03-07,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,48.17,53.98,0.1134,1,0,101.07,31.34,199,191,9200.470000000001,1224.3100000000006
2025-03-08,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,50.1,55.52,0.0779,0,0,100.88,31.24,229,153,7665.3,1276.0200000000004
2025-03-09,SKU001,Beverages,Western Cape,Hyper,54.33,41.76,49.95,56.04,0.0805,1,0,100.61,31.32,184,184,9190.800000000001,1506.960000000001
2025-03-10,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,55.54,54.14,0.0,0,0,100.49,30.84,200,161,8941.94,2218.5800000000004
2025-03-11,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,55.49,52.01,0.0,0,0,100.98,31.22,186,168,9322.32,2306.640000000001
2025-03-12,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,52.54,52.9,0.033,0,0,101.54,31.25,135,135,7092.9,1455.3000000000002
2025-03-13,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,53.81,52.52,0.0096,0,0,100.29,31.36,114,114,6134.34,1373.7000000000005
2025-03-14,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,45.82,55.59,0.1567,1,0,101.04,31.14,164,164,7514.4800000000005,665.8400000000004
2025-03-15,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,49.63,53.94,0.0866,0,0,100.97,31.54,196,144,7146.72,1133.2800000000007
2025-03-16,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,57.32,52.69,0.0,0,0,100.81,31.06,193,127,7279.64,1976.1200000000003
2025-03-17,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,58.26,53.25,0.0,0,0,100.04,31.08,175,131,7632.0599999999995,2161.5
2025-03-18,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,49.11,55.01,0.0961,0,0,101.12,31.32,190,154,7562.94,1131.9000000000003
2025-03-19,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,56.75,53.24,0.0,0,0,100.82,31.08,181,142,8058.5,2128.5800000000004
2025-03-20,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,53.48,54.37,0.0157,0,0,101.04,31.06,129,129,6898.919999999999,1511.8799999999999
2025-03-21,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,54.9,56.68,0.0,0,0,100.63,30.9,140,128,7027.2,1681.92
2025-03-22,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,53.52,54.03,0.015,0,0,100.88,31.24,237,140,7492.8,1646.4000000000008
2025-03-23,SKU001,Beverages,Western Cape,Convenience,54.33,41.76,50.76,54.41,0.0657,0,0,101.1,31.07,147,110,5583.599999999999,990.0
2025-03-24,SKU001,Beverages,Gauteng,Convenience,54.33,41.76,50.8,56.54,0.0649,0,0,100.99,31.2,183,155,7874.0,1401.1999999999998
2025-03-25,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,49.8,52.67,0.0834,0,0,101.16,31.11,205,152,7569.599999999999,1222.08
2025-03-26,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,56.11,52.31,0.0,0,0,100.64,31.18,212,171,9594.81,2453.8500000000004
2025-03-27,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,54.29,54.04,0.0007,0,0,101.0,30.92,179,125,6786.25,1566.2500000000002
2025-03-28,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,51.57,52.83,0.0507,0,0,100.94,31.25,244,184,9488.88,1805.0400000000004
2025-03-29,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,58.86,53.45,0.0,0,0,101.12,30.86,136,117,6886.62,2000.7000000000003
2025-03-30,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,51.61,55.19,0.0501,0,0,101.14,31.11,164,164,8464.039999999999,1615.4000000000003
2025-03-31,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,50.86,54.18,0.0639,0,0,100.97,31.0,210,169,8595.34,1537.9000000000003
2025-04-01,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,48.15,53.89,0.1138,1,0,100.99,31.02,269,217,10448.55,1386.63
2025-04-02,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,56.77,55.91,0.0,0,0,100.87,30.74,156,140,7947.8,2101.4000000000005
2025-04-03,SKU001,Beverages,KwaZulu-Natal,Supermarket,54.33,41.76,49.16,51.67,0.0951,0,0,101.28,30.92,209,169,8308.039999999999,1250.5999999999997
2025-04-04,SKU001,Beverages,KwaZulu-Natal,Convenience,54.33,41.76,53.26,52.74,0.0196,0,1,101.35,31.04,175,154,8202.039999999999,1771.0
2025-04-05,SKU001,Beverages,KwaZulu-Natal,Hyper,54.33,41.76,50.1,52.44,0.0779,0,1,100.54,30.57,191,191,9569.1,1592.9400000000007
2025-04-06,SKU001,Beverages,Western Cape,Supermarket,54.33,41.76,56.28,51.9,0.0,0,1,100.78,30.52,187,160,9004.8,2323.2000000000007
2025-04-07,SKU001,Beverages,Gauteng,Supermarket,54.33,41.76,50.82,51.31,0.0647,0,0,101.41,31.03,182,169,8588.58,1531.1400000000003
